rank,points,ranking_movement,tournaments_played,id
1,9225,0,17,sr:competitor:407573
2,8795,0,17,sr:competitor:14882
3,6520,0,23,sr:competitor:163504
4,4985,0,24,sr:competitor:119248
5,4850,0,22,sr:competitor:122366
6,4825,0,23,sr:competitor:429603
7,4730,0,26,sr:competitor:106755
8,3815,0,22,sr:competitor:225050
9,3515,0,26,sr:competitor:136042
10,3085,0,22,sr:competitor:101101
11,2945,0,20,sr:competitor:90080
12,2770,0,22,sr:competitor:195800
13,2610,0,23,sr:competitor:95935
14,2320,0,25,sr:competitor:138546
15,2265,4,22,sr:competitor:57163
16,2225,-1,20,sr:competitor:64580
17,2195,-1,24,sr:competitor:158896
18,1950,0,27,sr:competitor:359602
19,1945,-2,24,sr:competitor:214182
20,1600,0,23,sr:competitor:23581
21,1565,0,27,sr:competitor:255595
22,1515,0,23,sr:competitor:117916
23,1505,0,17,sr:competitor:40800
24,1496,0,23,sr:competitor:46391
25,1384,1,28,sr:competitor:163480
26,1365,2,17,sr:competitor:203681
27,1345,0,31,sr:competitor:15894
28,1339,1,20,sr:competitor:89632
29,1333,3,28,sr:competitor:206879
30,1321,0,27,sr:competitor:16375
31,1315,0,22,sr:competitor:59281
32,1240,-7,25,sr:competitor:16720
33,1233,0,26,sr:competitor:339377
34,1231,0,30,sr:competitor:169496
35,1175,0,14,sr:competitor:62490
36,1159,2,27,sr:competitor:185388
37,1149,-1,25,sr:competitor:122368
38,1145,19,27,sr:competitor:97231
39,1140,0,26,sr:competitor:157456
40,1112,-3,19,sr:competitor:112783
41,1105,2,29,sr:competitor:104847
42,1090,-2,30,sr:competitor:130398
43,1065,-2,27,sr:competitor:808628
44,1030,-2,22,sr:competitor:15126
45,1025,1,26,sr:competitor:234048
46,1000,-2,26,sr:competitor:102339
47,976,24,24,sr:competitor:671637
48,943,-1,18,sr:competitor:124930
49,934,23,22,sr:competitor:14548
50,929,-5,26,sr:competitor:47975
51,916,10,28,sr:competitor:127208
52,915,-4,31,sr:competitor:14414
53,911,26,24,sr:competitor:75813
54,902,-5,29,sr:competitor:73987
55,901,-5,30,sr:competitor:167370
56,901,-5,29,sr:competitor:152048
57,895,33,26,sr:competitor:128552
58,884,-2,24,sr:competitor:47770
59,884,-6,28,sr:competitor:67154
60,870,-5,30,sr:competitor:63438
61,868,-9,28,sr:competitor:83397
62,855,20,33,sr:competitor:124656
63,846,-9,28,sr:competitor:108565
64,845,-5,29,sr:competitor:51141
65,845,11,29,sr:competitor:505550
66,839,-6,23,sr:competitor:39234
67,836,13,27,sr:competitor:63606
68,831,9,31,sr:competitor:658475
69,830,-7,26,sr:competitor:42379
70,830,-12,24,sr:competitor:294300
71,827,-8,30,sr:competitor:87690
72,815,-8,29,sr:competitor:257721
73,811,-7,28,sr:competitor:90798
74,806,-6,30,sr:competitor:58221
75,798,-6,24,sr:competitor:60502
76,798,-9,25,sr:competitor:92074
77,786,-7,26,sr:competitor:72248
78,778,-4,25,sr:competitor:124658
79,762,-4,25,sr:competitor:125006
80,750,-7,21,sr:competitor:175014
81,735,-3,18,sr:competitor:352776
82,733,-17,35,sr:competitor:16822
83,720,-2,28,sr:competitor:88992
84,708,4,18,sr:competitor:129368
85,697,-1,25,sr:competitor:39726
86,696,0,21,sr:competitor:71280
87,693,-2,24,sr:competitor:218538
88,690,-5,32,sr:competitor:145112
89,688,-2,26,sr:competitor:254383
90,683,-1,19,sr:competitor:200261
91,636,13,31,sr:competitor:126356
92,633,0,28,sr:competitor:223874
93,632,0,30,sr:competitor:371436
94,626,0,26,sr:competitor:371476
95,615,2,26,sr:competitor:48599
96,615,9,30,sr:competitor:269521
97,615,1,27,sr:competitor:44547
98,610,2,16,sr:competitor:15387
99,608,3,21,sr:competitor:157302
100,608,11,28,sr:competitor:25838
101,606,19,21,sr:competitor:64570
102,603,5,25,sr:competitor:94485
103,602,5,30,sr:competitor:54573
104,601,5,29,sr:competitor:300540
105,594,-6,16,sr:competitor:97647
106,585,4,26,sr:competitor:258735
107,583,10,31,sr:competitor:212004
108,582,-12,29,sr:competitor:44549
109,574,-14,28,sr:competitor:62790
110,569,4,28,sr:competitor:299130
111,568,2,25,sr:competitor:48632
112,564,4,17,sr:competitor:131442
113,562,-22,24,sr:competitor:89320
114,560,-11,19,sr:competitor:16120
115,560,0,24,sr:competitor:124916
116,556,-4,30,sr:competitor:43748
117,543,6,26,sr:competitor:161262
118,539,3,30,sr:competitor:47603
119,537,5,30,sr:competitor:223714
120,531,-2,23,sr:competitor:145130
121,525,6,20,sr:competitor:132834
122,522,3,19,sr:competitor:102151
123,510,5,29,sr:competitor:39711
124,507,13,20,sr:competitor:15434
125,504,1,21,sr:competitor:47764
126,498,5,31,sr:competitor:22218
127,493,5,28,sr:competitor:276563
128,480,-22,20,sr:competitor:496346
129,476,6,29,sr:competitor:188321
130,475,14,22,sr:competitor:71660
131,474,5,28,sr:competitor:276685
132,460,-31,17,sr:competitor:195516
133,458,-3,31,sr:competitor:77223
134,456,6,22,sr:competitor:871495
135,454,-2,28,sr:competitor:38183
136,452,2,29,sr:competitor:256875
137,452,13,24,sr:competitor:113905
138,451,3,24,sr:competitor:445419
139,445,3,15,sr:competitor:14486
140,443,3,25,sr:competitor:418213
141,442,-22,25,sr:competitor:298122
142,442,6,32,sr:competitor:399637
143,440,-21,27,sr:competitor:107357
144,437,1,26,sr:competitor:104967
145,432,-11,18,sr:competitor:95801
146,428,38,24,sr:competitor:371448
147,424,-1,25,sr:competitor:601146
148,421,3,35,sr:competitor:105607
149,420,7,19,sr:competitor:721347
150,411,8,25,sr:competitor:170946
151,400,2,28,sr:competitor:163636
152,397,20,19,sr:competitor:57021
153,394,1,23,sr:competitor:450477
154,390,1,31,sr:competitor:76515
155,384,-16,28,sr:competitor:26203
156,375,32,31,sr:competitor:100069
157,374,-5,24,sr:competitor:74441
158,371,-29,23,sr:competitor:248779
159,370,0,17,sr:competitor:603096
160,368,3,30,sr:competitor:54955
161,367,-1,24,sr:competitor:247607
162,365,29,30,sr:competitor:49663
163,364,-2,25,sr:competitor:36595
164,364,38,26,sr:competitor:45258
165,362,-1,18,sr:competitor:57289
166,361,-9,20,sr:competitor:59304
167,361,-2,15,sr:competitor:16779
168,356,-2,29,sr:competitor:392066
169,356,2,29,sr:competitor:353530
170,350,-3,29,sr:competitor:355752
171,350,-3,34,sr:competitor:132558
172,347,-3,28,sr:competitor:49172
173,345,-3,28,sr:competitor:80665
174,341,6,30,sr:competitor:310974
175,339,11,25,sr:competitor:83661
176,336,-1,26,sr:competitor:472975
177,336,-1,26,sr:competitor:121668
178,335,-31,25,sr:competitor:123694
179,334,-1,23,sr:competitor:131566
180,332,1,29,sr:competitor:309954
181,331,1,26,sr:competitor:321667
182,327,1,23,sr:competitor:204117
183,323,-10,25,sr:competitor:56017
184,323,64,24,sr:competitor:210526
185,321,2,27,sr:competitor:62404
186,321,18,14,sr:competitor:157808
187,320,13,25,sr:competitor:763108
188,319,1,27,sr:competitor:337601
189,318,-12,28,sr:competitor:284805
190,317,-11,28,sr:competitor:169486
191,315,-42,23,sr:competitor:65606
192,314,-30,26,sr:competitor:187689
193,311,-3,20,sr:competitor:38493
194,311,-1,36,sr:competitor:202627
195,310,-3,32,sr:competitor:54733
196,307,-2,22,sr:competitor:56361
197,307,12,25,sr:competitor:619900
198,306,1,21,sr:competitor:22956
199,305,29,14,sr:competitor:24418
200,304,-4,28,sr:competitor:503814
201,303,-27,23,sr:competitor:51009
202,303,8,26,sr:competitor:230468
203,302,-5,35,sr:competitor:336423
204,299,-9,22,sr:competitor:163996
205,296,-20,31,sr:competitor:141882
206,293,16,23,sr:competitor:450283
207,292,-6,29,sr:competitor:286367
208,290,-5,27,sr:competitor:289105
209,287,-3,21,sr:competitor:97977
210,287,24,33,sr:competitor:399633
211,286,2,25,sr:competitor:23664
212,285,-5,23,sr:competitor:66002
213,285,3,19,sr:competitor:53183
214,284,-6,29,sr:competitor:250231
215,281,-10,27,sr:competitor:43761
216,279,-4,19,sr:competitor:211038
217,277,-20,21,sr:competitor:50139
218,277,-4,24,sr:competitor:36678
219,276,1,27,sr:competitor:38517
220,275,-9,30,sr:competitor:66484
221,275,-4,32,sr:competitor:82579
222,273,-4,23,sr:competitor:63090
223,273,15,25,sr:competitor:341192
224,272,0,25,sr:competitor:801386
225,272,-10,27,sr:competitor:46259
226,272,-5,33,sr:competitor:36300
227,269,2,21,sr:competitor:16683
228,268,-9,18,sr:competitor:226050
229,268,-2,33,sr:competitor:172482
230,265,-7,9,sr:competitor:108709
231,261,-5,20,sr:competitor:220588
232,260,5,30,sr:competitor:163528
233,259,-8,25,sr:competitor:501672
234,256,-2,20,sr:competitor:35167
235,254,1,28,sr:competitor:16833
236,251,-6,32,sr:competitor:287541
237,249,-6,26,sr:competitor:251091
238,248,2,16,sr:competitor:66086
239,248,2,28,sr:competitor:443702
240,245,2,14,sr:competitor:47295
241,244,-6,25,sr:competitor:534043
242,244,1,26,sr:competitor:359608
243,243,10,26,sr:competitor:17017
244,241,6,28,sr:competitor:108767
245,241,10,31,sr:competitor:675173
246,240,-13,26,sr:competitor:49417
247,236,-2,19,sr:competitor:22970
248,236,-2,26,sr:competitor:69500
249,236,-2,31,sr:competitor:227358
250,235,-1,23,sr:competitor:428657
251,233,36,16,sr:competitor:722429
252,231,-1,34,sr:competitor:231192
253,227,75,22,sr:competitor:16192
254,223,-10,21,sr:competitor:93597
255,222,-3,23,sr:competitor:186885
256,221,2,23,sr:competitor:739641
257,221,-18,24,sr:competitor:55787
258,221,12,30,sr:competitor:286541
259,221,19,33,sr:competitor:57759
260,218,29,25,sr:competitor:72230
261,218,-4,28,sr:competitor:158912
262,218,-1,30,sr:competitor:36298
263,217,-1,24,sr:competitor:345576
264,217,-1,26,sr:competitor:530317
265,216,10,26,sr:competitor:79467
266,216,2,27,sr:competitor:91240
267,216,-13,28,sr:competitor:54975
268,216,-4,32,sr:competitor:405977
269,213,-4,32,sr:competitor:199196
270,212,-4,31,sr:competitor:166198
271,210,-4,25,sr:competitor:52276
272,210,-13,27,sr:competitor:185434
273,209,-2,29,sr:competitor:121182
274,208,39,19,sr:competitor:58371
275,208,-6,29,sr:competitor:138528
276,206,5,18,sr:competitor:63446
277,204,15,29,sr:competitor:113979
278,203,-6,27,sr:competitor:675175
279,203,7,27,sr:competitor:240876
280,201,-6,23,sr:competitor:59310
281,199,-5,20,sr:competitor:325737
282,199,-5,31,sr:competitor:229022
283,195,-3,34,sr:competitor:195458
284,194,-11,22,sr:competitor:234046
285,194,-29,34,sr:competitor:103625
286,193,-4,27,sr:competitor:240264
287,193,-8,31,sr:competitor:414501
288,191,-5,20,sr:competitor:17018
289,190,23,23,sr:competitor:42152
290,190,-30,31,sr:competitor:48626
291,189,-6,25,sr:competitor:153826
292,188,-2,31,sr:competitor:78743
293,186,13,26,sr:competitor:226036
294,183,-1,25,sr:competitor:225052
295,183,0,31,sr:competitor:51100
296,183,-12,36,sr:competitor:69362
297,182,-1,28,sr:competitor:55067
298,181,-10,20,sr:competitor:373348
299,181,-2,29,sr:competitor:90110
300,179,-2,25,sr:competitor:32466
301,178,-2,24,sr:competitor:226132
302,178,-2,29,sr:competitor:223998
303,177,-2,19,sr:competitor:382058
304,175,0,38,sr:competitor:279295
305,174,0,29,sr:competitor:144102
306,172,1,18,sr:competitor:46390
307,172,14,22,sr:competitor:459201
308,172,0,24,sr:competitor:685469
309,171,6,30,sr:competitor:82133
310,170,0,27,sr:competitor:99587
311,168,0,30,sr:competitor:110837
312,167,2,23,sr:competitor:152898
313,167,-10,27,sr:competitor:113859
314,166,5,27,sr:competitor:111837
315,165,15,18,sr:competitor:58369
316,165,-22,26,sr:competitor:175070
317,164,-26,10,sr:competitor:33115
318,164,-2,14,sr:competitor:135778
319,164,-2,19,sr:competitor:188595
320,164,-2,21,sr:competitor:81041
321,163,11,20,sr:competitor:341220
322,163,1,26,sr:competitor:210592
323,162,-1,16,sr:competitor:14844
324,161,0,7,sr:competitor:14736
325,161,0,15,sr:competitor:26204
326,161,0,17,sr:competitor:224024
327,161,-18,29,sr:competitor:477182
328,159,-26,18,sr:competitor:177686
329,159,0,24,sr:competitor:106357
330,158,13,16,sr:competitor:81271
331,158,0,19,sr:competitor:107625
332,158,1,26,sr:competitor:94747
333,157,11,19,sr:competitor:17080
334,157,0,25,sr:competitor:58703
335,156,5,22,sr:competitor:505466
336,155,-1,29,sr:competitor:653487
337,152,19,20,sr:competitor:14488
338,152,1,15,sr:competitor:515510
339,152,27,20,sr:competitor:39712
340,152,72,27,sr:competitor:50847
341,152,16,27,sr:competitor:307112
342,152,-1,28,sr:competitor:240916
343,151,9,27,sr:competitor:216502
344,151,-8,32,sr:competitor:49660
345,150,1,34,sr:competitor:117866
346,149,-8,24,sr:competitor:96239
347,148,-2,22,sr:competitor:103313
348,148,-21,31,sr:competitor:252239
349,145,5,20,sr:competitor:16286
350,144,-1,15,sr:competitor:15858
351,144,-1,31,sr:competitor:180446
352,143,-32,19,sr:competitor:37785
353,143,86,4,sr:competitor:15733
354,143,-3,15,sr:competitor:211284
355,142,-2,19,sr:competitor:108559
356,141,-1,30,sr:competitor:17065
357,138,-20,21,sr:competitor:213170
358,138,-16,31,sr:competitor:96859
359,135,-1,9,sr:competitor:57703
360,134,-12,18,sr:competitor:16194
361,133,-2,19,sr:competitor:124732
362,132,5,22,sr:competitor:145108
363,132,-3,33,sr:competitor:152726
364,131,22,30,sr:competitor:57155
365,130,-3,21,sr:competitor:353550
366,130,-3,23,sr:competitor:205773
