id,scheduled,start_time_tbd,status,competitors,resumed,sport_event_type,estimated,tournament_round.type,tournament_round.number,tournament_round.name,tournament_round.group_long_name,season.id,season.name,season.start_date,season.end_date,season.year,season.tournament_id,tournament.id,tournament.name,tournament.parent_id,tournament.sport.id,tournament.sport.name,tournament.category.id,tournament.category.name,tournament.type,tournament.gender,venue.id,venue.name,venue.city_name,venue.country_name,venue.country_code,tournament_round.cup_round_match_number,tournament_round.cup_round_matches,tournament.category.level,venue.capacity,player1,player2,player1_id,player1_name,player1_nationality,player1_country_code,player1_abbreviation,player1_seed,player1_bracket_number,player1_qualifier,player1_players,player2_id,player2_name,player2_nationality,player2_country_code,player2_abbreviation,player2_seed,player2_bracket_number,player2_qualifier,player2_players,player1_virtual,player2_virtual
sr:match:43336399,2023-08-28T17:45:00+00:00,False,suspended,"[{'id': 'sr:competitor:866205', 'name': 'Callejon Hernando, Sergio', 'nationality': 'Espagne', 'country_code': 'ESP', 'abbreviation': 'CAL', 'seed': 7, 'bracket_number': 25, 'qualifier': 'home'}, {'id': 'sr:competitor:751841', 'name': 'Turriziani Alvarez, Alejandro', 'nationality': 'Espagne', 'country_code': 'ESP', 'abbreviation': 'TUR', 'seed': 9, 'bracket_number': 28, 'qualifier': 'away'}]",2023-08-29T16:40:00+00:00,singles,True,qualification,1.0,qualification,"Oviedo, Singles Qualifying, M-ITF-ESP-33A",sr:season:109461,ITF Spain F33 Men Singles 2023,2023-08-27,2023-09-02,2023,sr:tournament:20116,sr:tournament:20116,"ITF Spain F33, Men Singles",sr:tournament:20114,sr:sport:5,Tennis,sr:category:785,ITF Hommes,singles,men,sr:venue:23296,Court 1,Oviedo,Espagne,ESP,,,,,"{'id': 'sr:competitor:866205', 'name': 'Callejon Hernando, Sergio', 'nationality': 'Espagne', 'country_code': 'ESP', 'abbreviation': 'CAL', 'seed': 7, 'bracket_number': 25, 'qualifier': 'home'}","{'id': 'sr:competitor:751841', 'name': 'Turriziani Alvarez, Alejandro', 'nationality': 'Espagne', 'country_code': 'ESP', 'abbreviation': 'TUR', 'seed': 9, 'bracket_number': 28, 'qualifier': 'away'}",sr:competitor:866205,"Callejon Hernando, Sergio",Espagne,ESP,CAL,7.0,25.0,home,,sr:competitor:751841,"Turriziani Alvarez, Alejandro",Espagne,ESP,TUR,9.0,28.0,away,,,
sr:match:43270081,2023-08-29T00:20:00+00:00,False,closed,"[{'id': 'sr:competitor:57289', 'name': 'Dellien, Hugo', 'nationality': 'Bolivie', 'country_code': 'BOL', 'abbreviation': 'DEL', 'bracket_number': 115, 'qualifier': 'home'}, {'id': 'sr:competitor:124916', 'name': 'Gojo, Borna', 'nationality': 'Croatie', 'country_code': 'HRV', 'abbreviation': 'GOJ', 'bracket_number': 116, 'qualifier': 'away'}]",,singles,True,cup,,round_of_128,"US Open, New York, USA",sr:season:97749,"US Open, Simple Messieurs 2023",2023-08-22,2023-09-10,2023,sr:tournament:2591,sr:tournament:2591,"US Open, Simple Messieurs",sr:tournament:2589,sr:sport:5,Tennis,sr:category:3,ATP,singles,men,sr:venue:1312,Court 6,New York,Etats-Unis,USA,1.0,1.0,grand_slam,,"{'id': 'sr:competitor:57289', 'name': 'Dellien, Hugo', 'nationality': 'Bolivie', 'country_code': 'BOL', 'abbreviation': 'DEL', 'bracket_number': 115, 'qualifier': 'home'}","{'id': 'sr:competitor:124916', 'name': 'Gojo, Borna', 'nationality': 'Croatie', 'country_code': 'HRV', 'abbreviation': 'GOJ', 'bracket_number': 116, 'qualifier': 'away'}",sr:competitor:57289,"Dellien, Hugo",Bolivie,BOL,DEL,,115.0,home,,sr:competitor:124916,"Gojo, Borna",Croatie,HRV,GOJ,,116.0,away,,,
sr:match:43323253,2023-08-29T00:55:00+00:00,False,closed,"[{'id': 'sr:competitor:154744', 'name': 'Lee, Eunhye', 'nationality': 'République de Corée', 'country_code': 'KOR', 'abbreviation': 'LEE', 'seed': 7, 'bracket_number': 17, 'qualifier': 'home'}, {'id': 'sr:competitor:43233', 'name': 'Akita, Shiho', 'nationality': 'Japon', 'country_code': 'JPN', 'abbreviation': 'AKI', 'bracket_number': 18, 'qualifier': 'away'}]",,singles,True,cup,,round_of_32,"Yeongwol, Singles Main, W-ITF-KOR-05A",sr:season:109553,"ITF South Korea 05A, Women Singles 2023",2023-08-27,2023-09-03,2023,sr:tournament:23013,sr:tournament:23013,"ITF South Korea 05A, Women Singles",sr:tournament:23011,sr:sport:5,Tennis,sr:category:213,ITF Femmes,singles,women,sr:venue:23156,Court 9,Yeong Wol,République de Corée,KOR,,,,,"{'id': 'sr:competitor:154744', 'name': 'Lee, Eunhye', 'nationality': 'République de Corée', 'country_code': 'KOR', 'abbreviation': 'LEE', 'seed': 7, 'bracket_number': 17, 'qualifier': 'home'}","{'id': 'sr:competitor:43233', 'name': 'Akita, Shiho', 'nationality': 'Japon', 'country_code': 'JPN', 'abbreviation': 'AKI', 'bracket_number': 18, 'qualifier': 'away'}",sr:competitor:154744,"Lee, Eunhye",République de Corée,KOR,LEE,7.0,17.0,home,,sr:competitor:43233,"Akita, Shiho",Japon,JPN,AKI,,18.0,away,,,
sr:match:43323255,2023-08-29T00:55:00+00:00,False,closed,"[{'id': 'sr:competitor:96881', 'name': 'Jeong, Sunam', 'nationality': 'République de Corée', 'country_code': 'KOR', 'abbreviation': 'JEO', 'bracket_number': 7, 'qualifier': 'home'}, {'id': 'sr:competitor:512050', 'name': 'Kawagishi, Nana', 'nationality': 'Japon', 'country_code': 'JPN', 'abbreviation': 'KAW', 'seed': 6, 'bracket_number': 8, 'qualifier': 'away'}]",,singles,True,cup,,round_of_32,"Yeongwol, Singles Main, W-ITF-KOR-05A",sr:season:109553,"ITF South Korea 05A, Women Singles 2023",2023-08-27,2023-09-03,2023,sr:tournament:23013,sr:tournament:23013,"ITF South Korea 05A, Women Singles",sr:tournament:23011,sr:sport:5,Tennis,sr:category:213,ITF Femmes,singles,women,sr:venue:23150,Court 6,Yeong Wol,République de Corée,KOR,,,,,"{'id': 'sr:competitor:96881', 'name': 'Jeong, Sunam', 'nationality': 'République de Corée', 'country_code': 'KOR', 'abbreviation': 'JEO', 'bracket_number': 7, 'qualifier': 'home'}","{'id': 'sr:competitor:512050', 'name': 'Kawagishi, Nana', 'nationality': 'Japon', 'country_code': 'JPN', 'abbreviation': 'KAW', 'seed': 6, 'bracket_number': 8, 'qualifier': 'away'}",sr:competitor:96881,"Jeong, Sunam",République de Corée,KOR,JEO,,7.0,home,,sr:competitor:512050,"Kawagishi, Nana",Japon,JPN,KAW,6.0,8.0,away,,,
sr:match:43323247,2023-08-29T01:00:00+00:00,False,closed,"[{'id': 'sr:competitor:219618', 'name': 'Kim, Cherry', 'nationality': 'République de Corée', 'country_code': 'KOR', 'abbreviation': 'KIM', 'bracket_number': 5, 'qualifier': 'home'}, {'id': 'sr:competitor:1039015', 'name': 'Kim, Yujin', 'nationality': 'République de Corée', 'country_code': 'KOR', 'abbreviation': 'KIM', 'bracket_number': 6, 'qualifier': 'away'}]",,singles,True,cup,,round_of_32,"Yeongwol, Singles Main, W-ITF-KOR-05A",sr:season:109553,"ITF South Korea 05A, Women Singles 2023",2023-08-27,2023-09-03,2023,sr:tournament:23013,sr:tournament:23013,"ITF South Korea 05A, Women Singles",sr:tournament:23011,sr:sport:5,Tennis,sr:category:213,ITF Femmes,singles,women,sr:venue:23160,Court 1,Yeong Wol,République de Corée,KOR,,,,,"{'id': 'sr:competitor:219618', 'name': 'Kim, Cherry', 'nationality': 'République de Corée', 'country_code': 'KOR', 'abbreviation': 'KIM', 'bracket_number': 5, 'qualifier': 'home'}","{'id': 'sr:competitor:1039015', 'name': 'Kim, Yujin', 'nationality': 'République de Corée', 'country_code': 'KOR', 'abbreviation': 'KIM', 'bracket_number': 6, 'qualifier': 'away'}",sr:competitor:219618,"Kim, Cherry",République de Corée,KOR,KIM,,5.0,home,,sr:competitor:1039015,"Kim, Yujin",République de Corée,KOR,KIM,,6.0,away,,,
sr:match:43323257,2023-08-29T01:00:00+00:00,False,closed,"[{'id': 'sr:competitor:45764', 'name': 'Kim, Da Hye', 'nationality': 'République de Corée', 'country_code': 'KOR', 'abbreviation': 'KIM', 'bracket_number': 19, 'qualifier': 'home'}, {'id': 'sr:competitor:938501', 'name': 'Jang, Gaeul', 'nationality': 'République de Corée', 'country_code': 'KOR', 'abbreviation': 'JAN', 'bracket_number': 20, 'qualifier': 'away'}]",,singles,True,cup,,round_of_32,"Yeongwol, Singles Main, W-ITF-KOR-05A",sr:season:109553,"ITF South Korea 05A, Women Singles 2023",2023-08-27,2023-09-03,2023,sr:tournament:23013,sr:tournament:23013,"ITF South Korea 05A, Women Singles",sr:tournament:23011,sr:sport:5,Tennis,sr:category:213,ITF Femmes,singles,women,sr:venue:23158,Court 5,Yeong Wol,République de Corée,KOR,,,,,"{'id': 'sr:competitor:45764', 'name': 'Kim, Da Hye', 'nationality': 'République de Corée', 'country_code': 'KOR', 'abbreviation': 'KIM', 'bracket_number': 19, 'qualifier': 'home'}","{'id': 'sr:competitor:938501', 'name': 'Jang, Gaeul', 'nationality': 'République de Corée', 'country_code': 'KOR', 'abbreviation': 'JAN', 'bracket_number': 20, 'qualifier': 'away'}",sr:competitor:45764,"Kim, Da Hye",République de Corée,KOR,KIM,,19.0,home,,sr:competitor:938501,"Jang, Gaeul",République de Corée,KOR,JAN,,20.0,away,,,
sr:match:43269967,2023-08-29T01:30:00+00:00,False,closed,"[{'id': 'sr:competitor:784280', 'name': 'Barkova, Tatiana', 'nationality': 'Neutral', 'abbreviation': 'BAR', 'bracket_number': 19, 'qualifier': 'home'}, {'id': 'sr:competitor:18910', 'name': 'Wozniacki, Caroline', 'nationality': 'Danemark', 'country_code': 'DNK', 'abbreviation': 'WOZ', 'bracket_number': 20, 'qualifier': 'away'}]",,singles,True,cup,,round_of_128,"US Open, New York, USA",sr:season:97747,"US Open, Simple Dames 2023",2023-08-22,2023-09-10,2023,sr:tournament:2595,sr:tournament:2595,"US Open, Simple Dames",sr:tournament:2589,sr:sport:5,Tennis,sr:category:6,WTA,singles,women,sr:venue:1324,Stade Louis Armstrong,New York,Etats-Unis,USA,1.0,1.0,grand_slam,,"{'id': 'sr:competitor:784280', 'name': 'Barkova, Tatiana', 'nationality': 'Neutral', 'abbreviation': 'BAR', 'bracket_number': 19, 'qualifier': 'home'}","{'id': 'sr:competitor:18910', 'name': 'Wozniacki, Caroline', 'nationality': 'Danemark', 'country_code': 'DNK', 'abbreviation': 'WOZ', 'bracket_number': 20, 'qualifier': 'away'}",sr:competitor:784280,"Barkova, Tatiana",Neutral,,BAR,,19.0,home,,sr:competitor:18910,"Wozniacki, Caroline",Danemark,DNK,WOZ,,20.0,away,,,
sr:match:43325201,2023-08-29T01:55:00+00:00,False,closed,"[{'id': 'sr:competitor:831262', 'name': 'Yamalapalli, Sahaja', 'nationality': 'Inde', 'country_code': 'IND', 'abbreviation': 'YAM', 'bracket_number': 7, 'qualifier': 'home'}, {'id': 'sr:competitor:750327', 'name': 'Iatcenko, Polina', 'nationality': 'Neutral', 'abbreviation': 'IAT', 'seed': 8, 'bracket_number': 8, 'qualifier': 'away'}]",,singles,True,cup,,round_of_32,"Nakhon Si Thammarat, Singles Main, W-ITF-THA-10A",sr:season:109541,"ITF Thailand 10A, Women Singles 2023",2023-08-27,2023-09-03,2023,sr:tournament:16834,sr:tournament:16834,"ITF Thailand 10A, Women Singles",sr:tournament:16722,sr:sport:5,Tennis,sr:category:213,ITF Femmes,singles,women,sr:venue:71347,Court 4,Nakhon Si Thammarat,Thaïlande,THA,,,,,"{'id': 'sr:competitor:831262', 'name': 'Yamalapalli, Sahaja', 'nationality': 'Inde', 'country_code': 'IND', 'abbreviation': 'YAM', 'bracket_number': 7, 'qualifier': 'home'}","{'id': 'sr:competitor:750327', 'name': 'Iatcenko, Polina', 'nationality': 'Neutral', 'abbreviation': 'IAT', 'seed': 8, 'bracket_number': 8, 'qualifier': 'away'}",sr:competitor:831262,"Yamalapalli, Sahaja",Inde,IND,YAM,,7.0,home,,sr:competitor:750327,"Iatcenko, Polina",Neutral,,IAT,8.0,8.0,away,,,
sr:match:43325227,2023-08-29T01:55:00+00:00,False,closed,"[{'id': 'sr:competitor:228784', 'name': 'Musitelli, François', 'nationality': 'France', 'country_code': 'FRA', 'abbreviation': 'MUS', 'bracket_number': 19, 'qualifier': 'home'}, {'id': 'sr:competitor:205747', 'name': 'Wang, Chukang', 'nationality': 'Chine', 'country_code': 'CHN', 'abbreviation': 'WAN', 'bracket_number': 20, 'qualifier': 'away'}]",,singles,True,cup,,round_of_32,"Nakhon Si Thammarat, Singles Main, M-ITF-THA-08A",sr:season:109509,"ITF Thailand F8, Men Singles 2023",2023-08-27,2023-09-03,2023,sr:tournament:20254,sr:tournament:20254,"ITF Thailand F8, Men Singles",sr:tournament:20252,sr:sport:5,Tennis,sr:category:785,ITF Hommes,singles,men,sr:venue:71341,Court 6,Nakhon Si Thammarat,Thaïlande,THA,,,,,"{'id': 'sr:competitor:228784', 'name': 'Musitelli, François', 'nationality': 'France', 'country_code': 'FRA', 'abbreviation': 'MUS', 'bracket_number': 19, 'qualifier': 'home'}","{'id': 'sr:competitor:205747', 'name': 'Wang, Chukang', 'nationality': 'Chine', 'country_code': 'CHN', 'abbreviation': 'WAN', 'bracket_number': 20, 'qualifier': 'away'}",sr:competitor:228784,"Musitelli, François",France,FRA,MUS,,19.0,home,,sr:competitor:205747,"Wang, Chukang",Chine,CHN,WAN,,20.0,away,,,
sr:match:43255089,2023-08-29T02:00:00+00:00,False,cancelled,"[{'id': 'sr:competitor:523024', 'name': 'Matsui, T / Uesugi, K', 'seed': 1, 'bracket_number': 1, 'abbreviation': 'M/U', 'qualifier': 'home', 'players': [{'id': 'sr:competitor:15275', 'name': 'Matsui, Toshihide', 'nationality': 'Japon', 'country_code': 'JPN', 'abbreviation': 'MAT'}, {'id': 'sr:competitor:145008', 'name': 'Uesugi, Kaito', 'nationality': 'Japon', 'country_code': 'JPN', 'abbreviation': 'UES'}]}, {'id': 'sr:competitor:1047381', 'name': 'Haliak, M / Karlovskiy, E', 'abbreviation': 'H/K', 'qualifier': 'away', 'players': [{'id': 'sr:competitor:54903', 'name': 'Karlovskiy, Evgeny', 'nationality': 'Neutral', 'abbreviation': 'KAR'}, {'id': 'sr:competitor:179628', 'name': 'Haliak, Mikalai', 'nationality': 'Neutral', 'abbreviation': 'HAL'}]}]",,doubles,True,cup,,round_of_16,"Zhangjiagang, China, Doubles",sr:season:105917,"Zhangjiagang, Chine, Double Messieurs 2023",2023-08-29,2023-09-02,2023,sr:tournament:18362,sr:tournament:18362,"Zhangjiagang, Chine, Double Messieurs",sr:tournament:18358,sr:sport:5,Tennis,sr:category:72,Challenger,doubles,men,,,,,,1.0,1.0,,,"{'id': 'sr:competitor:523024', 'name': 'Matsui, T / Uesugi, K', 'seed': 1, 'bracket_number': 1, 'abbreviation': 'M/U', 'qualifier': 'home', 'players': [{'id': 'sr:competitor:15275', 'name': 'Matsui, Toshihide', 'nationality': 'Japon', 'country_code': 'JPN', 'abbreviation': 'MAT'}, {'id': 'sr:competitor:145008', 'name': 'Uesugi, Kaito', 'nationality': 'Japon', 'country_code': 'JPN', 'abbreviation': 'UES'}]}","{'id': 'sr:competitor:1047381', 'name': 'Haliak, M / Karlovskiy, E', 'abbreviation': 'H/K', 'qualifier': 'away', 'players': [{'id': 'sr:competitor:54903', 'name': 'Karlovskiy, Evgeny', 'nationality': 'Neutral', 'abbreviation': 'KAR'}, {'id': 'sr:competitor:179628', 'name': 'Haliak, Mikalai', 'nationality': 'Neutral', 'abbreviation': 'HAL'}]}",sr:competitor:523024,"Matsui, T / Uesugi, K",,,M/U,1.0,1.0,home,"[{'id': 'sr:competitor:15275', 'name': 'Matsui, Toshihide', 'nationality': 'Japon', 'country_code': 'JPN', 'abbreviation': 'MAT'}, {'id': 'sr:competitor:145008', 'name': 'Uesugi, Kaito', 'nationality': 'Japon', 'country_code': 'JPN', 'abbreviation': 'UES'}]",sr:competitor:1047381,"Haliak, M / Karlovskiy, E",,,H/K,,,away,"[{'id': 'sr:competitor:54903', 'name': 'Karlovskiy, Evgeny', 'nationality': 'Neutral', 'abbreviation': 'KAR'}, {'id': 'sr:competitor:179628', 'name': 'Haliak, Mikalai', 'nationality': 'Neutral', 'abbreviation': 'HAL'}]",,
