player1_rank,player2_rank,atp_difference,classe,proba,odds
3,1000,997,0,"[0.59, 0.41]","[1.68, 2.46]"
11,104,93,0,"[0.57, 0.43]","[1.76, 2.31]"
40,79,39,0,"[0.54, 0.46]","[1.84, 2.19]"
93,13,-80,0,"[0.51, 0.49]","[1.95, 2.05]"
81,137,56,0,"[0.58, 0.42]","[1.74, 2.36]"
52,114,62,0,"[0.58, 0.42]","[1.74, 2.35]"
113,20,-93,1,"[0.42, 0.58]","[2.36, 1.74]"
42,15,-27,1,"[0.5, 0.5]","[2.0, 2.0]"
86,237,151,0,"[0.58, 0.42]","[1.72, 2.39]"
96,111,15,1,"[0.49, 0.51]","[2.04, 1.96]"
88,17,-71,1,"[0.46, 0.54]","[2.17, 1.85]"
108,83,-25,0,"[0.5, 0.5]","[2.0, 2.0]"
128,7,-121,0,"[0.55, 0.45]","[1.82, 2.22]"
47,55,8,1,"[0.49, 0.51]","[2.03, 1.98]"
49,45,-4,0,"[0.5, 0.5]","[1.98, 2.02]"
31,135,104,0,"[0.53, 0.47]","[1.89, 2.13]"
91,67,-24,1,"[0.49, 0.51]","[2.05, 1.95]"
68,21,-47,1,"[0.48, 0.52]","[2.1, 1.91]"
188,204,16,1,"[0.43, 0.57]","[2.33, 1.75]"
149,39,-110,1,"[0.47, 0.53]","[2.14, 1.88]"
132,18,-114,0,"[0.53, 0.47]","[1.88, 2.13]"
115,276,161,0,"[0.56, 0.44]","[1.77, 2.3]"
50,8,-42,0,"[0.52, 0.48]","[1.93, 2.07]"
1,76,75,0,"[0.81, 0.19]","[1.24, 5.18]"
1000,1000,0,1,"[0.49, 0.51]","[2.02, 1.98]"
1000,66,-934,1,"[0.32, 0.68]","[3.15, 1.46]"
118,57,-61,1,"[0.45, 0.55]","[2.25, 1.8]"
30,89,59,0,"[0.55, 0.45]","[1.83, 2.2]"
1000,1000,0,1,"[0.49, 0.51]","[2.02, 1.98]"
5,63,58,1,"[0.5, 0.5]","[2.02, 1.98]"
64,2,-62,1,"[0.39, 0.61]","[2.57, 1.64]"
431,22,-409,0,"[0.51, 0.49]","[1.98, 2.02]"
35,95,60,0,"[0.56, 0.44]","[1.78, 2.28]"
75,9,-66,1,"[0.5, 0.5]","[2.01, 1.99]"
59,117,58,0,"[0.53, 0.47]","[1.88, 2.14]"
102,29,-73,0,"[0.51, 0.49]","[1.95, 2.05]"
181,189,8,1,"[0.45, 0.55]","[2.22, 1.82]"
71,65,-6,1,"[0.49, 0.51]","[2.05, 1.95]"
4,130,126,1,"[0.49, 0.51]","[2.05, 1.95]"
107,37,-70,0,"[0.51, 0.49]","[1.97, 2.03]"
84,41,-43,1,"[0.49, 0.51]","[2.05, 1.95]"
60,10,-50,1,"[0.5, 0.5]","[2.02, 1.98]"
14,51,37,1,"[0.47, 0.53]","[2.13, 1.88]"
11,104,93,1,"[0.5, 0.5]","[2.01, 1.99]"
40,79,39,0,"[0.78, 0.22]","[1.28, 4.61]"
93,13,-80,1,"[0.04, 0.96]","[23.38, 1.04]"
81,137,56,1,"[0.2, 0.8]","[4.99, 1.25]"
52,114,62,0,"[0.9, 0.1]","[1.11, 10.23]"
113,20,-93,1,"[0.13, 0.87]","[7.5, 1.15]"
42,15,-27,0,"[0.97, 0.03]","[1.03, 33.33]"
86,237,151,0,"[0.87, 0.13]","[1.15, 7.82]"
96,111,15,0,"[0.64, 0.36]","[1.57, 2.75]"
88,17,-71,1,"[0.01, 0.99]","[150.0, 1.01]"
108,83,-25,1,"[0.35, 0.65]","[2.88, 1.53]"
128,7,-121,1,"[0.08, 0.92]","[13.04, 1.08]"
47,55,8,1,"[0.19, 0.81]","[5.26, 1.23]"
49,45,-4,0,"[0.6, 0.4]","[1.68, 2.47]"
31,135,104,0,"[0.8, 0.2]","[1.25, 5.0]"
91,67,-24,1,"[0.35, 0.65]","[2.85, 1.54]"
68,21,-47,0,"[0.52, 0.48]","[1.93, 2.08]"
188,204,16,1,"[0.41, 0.59]","[2.42, 1.7]"
149,39,-110,0,"[0.61, 0.39]","[1.63, 2.59]"
132,18,-114,1,"[0.03, 0.97]","[37.5, 1.03]"
115,276,161,1,"[0.41, 0.59]","[2.44, 1.69]"
50,8,-42,1,"[0.44, 0.56]","[2.26, 1.8]"
1,76,75,0,"[0.91, 0.09]","[1.09, 11.68]"
118,57,-61,1,"[0.26, 0.74]","[3.92, 1.34]"
30,89,59,1,"[0.35, 0.65]","[2.87, 1.54]"
5,63,58,0,"[0.95, 0.05]","[1.06, 18.75]"
64,2,-62,1,"[0.29, 0.71]","[3.41, 1.42]"
431,22,-409,1,"[0.11, 0.89]","[8.82, 1.13]"
35,95,60,0,"[0.89, 0.11]","[1.13, 8.79]"
75,9,-66,1,"[0.09, 0.91]","[10.84, 1.1]"
59,117,58,1,"[0.27, 0.73]","[3.7, 1.37]"
102,29,-73,1,"[0.28, 0.72]","[3.53, 1.4]"
181,189,8,1,"[0.29, 0.71]","[3.49, 1.4]"
71,65,-6,0,"[0.66, 0.34]","[1.51, 2.96]"
4,130,126,0,"[0.85, 0.15]","[1.18, 6.67]"
107,37,-70,1,"[0.27, 0.73]","[3.72, 1.37]"
84,41,-43,0,"[0.95, 0.05]","[1.05, 22.02]"
60,10,-50,1,"[0.48, 0.52]","[2.1, 1.91]"
14,51,37,1,"[0.0, 1.0]","[300.0, 1.0]"
11,104,93,1,"[0.5, 0.5]","[2.01, 1.99]"
40,79,39,0,"[0.78, 0.22]","[1.28, 4.61]"
93,13,-80,1,"[0.04, 0.96]","[23.38, 1.04]"
81,137,56,1,"[0.2, 0.8]","[4.99, 1.25]"
52,114,62,0,"[0.9, 0.1]","[1.11, 10.23]"
113,20,-93,1,"[0.13, 0.87]","[7.5, 1.15]"
42,15,-27,0,"[0.97, 0.03]","[1.03, 33.33]"
86,237,151,0,"[0.87, 0.13]","[1.15, 7.82]"
96,111,15,0,"[0.64, 0.36]","[1.57, 2.75]"
88,17,-71,1,"[0.01, 0.99]","[150.0, 1.01]"
108,83,-25,1,"[0.35, 0.65]","[2.88, 1.53]"
128,7,-121,1,"[0.08, 0.92]","[13.04, 1.08]"
47,55,8,1,"[0.19, 0.81]","[5.26, 1.23]"
49,45,-4,0,"[0.6, 0.4]","[1.68, 2.47]"
31,135,104,0,"[0.8, 0.2]","[1.25, 5.0]"
91,67,-24,1,"[0.35, 0.65]","[2.85, 1.54]"
68,21,-47,0,"[0.52, 0.48]","[1.93, 2.08]"
188,204,16,1,"[0.41, 0.59]","[2.42, 1.7]"
149,39,-110,0,"[0.61, 0.39]","[1.63, 2.59]"
132,18,-114,1,"[0.03, 0.97]","[37.5, 1.03]"
115,276,161,1,"[0.41, 0.59]","[2.44, 1.69]"
50,8,-42,1,"[0.44, 0.56]","[2.26, 1.8]"
1,76,75,0,"[0.91, 0.09]","[1.09, 11.68]"
118,57,-61,1,"[0.26, 0.74]","[3.92, 1.34]"
30,89,59,1,"[0.35, 0.65]","[2.87, 1.54]"
5,63,58,0,"[0.95, 0.05]","[1.06, 18.75]"
64,2,-62,1,"[0.29, 0.71]","[3.41, 1.42]"
431,22,-409,1,"[0.11, 0.89]","[8.82, 1.13]"
35,95,60,0,"[0.89, 0.11]","[1.13, 8.79]"
75,9,-66,1,"[0.09, 0.91]","[10.84, 1.1]"
59,117,58,1,"[0.27, 0.73]","[3.7, 1.37]"
102,29,-73,1,"[0.28, 0.72]","[3.53, 1.4]"
181,189,8,1,"[0.29, 0.71]","[3.49, 1.4]"
71,65,-6,0,"[0.66, 0.34]","[1.51, 2.96]"
4,130,126,0,"[0.85, 0.15]","[1.18, 6.67]"
107,37,-70,1,"[0.27, 0.73]","[3.72, 1.37]"
84,41,-43,0,"[0.95, 0.05]","[1.05, 22.02]"
60,10,-50,1,"[0.48, 0.52]","[2.1, 1.91]"
14,51,37,1,"[0.0, 1.0]","[300.0, 1.0]"
11,104,93,1,"[0.5, 0.5]","[2.01, 1.99]"
40,79,39,0,"[0.78, 0.22]","[1.28, 4.61]"
93,13,-80,1,"[0.04, 0.96]","[23.38, 1.04]"
81,137,56,1,"[0.2, 0.8]","[4.99, 1.25]"
52,114,62,0,"[0.9, 0.1]","[1.11, 10.23]"
113,20,-93,1,"[0.13, 0.87]","[7.5, 1.15]"
42,15,-27,0,"[0.97, 0.03]","[1.03, 33.33]"
86,237,151,0,"[0.87, 0.13]","[1.15, 7.82]"
96,111,15,0,"[0.64, 0.36]","[1.57, 2.75]"
88,17,-71,1,"[0.01, 0.99]","[150.0, 1.01]"
108,83,-25,1,"[0.35, 0.65]","[2.88, 1.53]"
128,7,-121,1,"[0.08, 0.92]","[13.04, 1.08]"
47,55,8,1,"[0.19, 0.81]","[5.26, 1.23]"
49,45,-4,0,"[0.6, 0.4]","[1.68, 2.47]"
31,135,104,0,"[0.8, 0.2]","[1.25, 5.0]"
91,67,-24,1,"[0.35, 0.65]","[2.85, 1.54]"
68,21,-47,0,"[0.52, 0.48]","[1.93, 2.08]"
188,204,16,1,"[0.41, 0.59]","[2.42, 1.7]"
